Year,Zone,Population (p),Quota (q),Harvest,%p,%q,% harvest male,Av. wt (F),Av. wt (M),Kangaroo Type
2022,Tibooburra,336735,57245,7744,2.3,13.5,77.1,18.4,27.9,Red Kangaroo
2022,Broken Hill,1281119,217790,47643,3.7,21.9,78.3,18.5,26,Red Kangaroo
2022,Lower Darling,750367,127562,21554,2.9,16.9,79.8,18.4,26.9,Red Kangaroo
2022,Cobar,180501,30685,1719,1,5.6,75.5,17.8,26.6,Red Kangaroo
2022,Bourke,164351,27940,9617,5.9,34.4,87.6,17.1,25.6,Red Kangaroo
2022,Narrabri,310030,52705,5264,1.7,10,80.3,18.4,27.3,Red Kangaroo
2022,Coonabarabran,226411,38490,8691,3.8,22.6,79,17.8,26.9,Red Kangaroo
2022,Griffith North,284023,48284,16329,5.7,33.8,73.1,18.9,28.5,Red Kangaroo
2022,Griffith South,113125,19231,15689,13.9,81.6,79,18.9,27,Red Kangaroo
2021,Tibooburra,200465,20046,2296,1.1,11.5,65.3,18.4,28.8,Red Kangaroo
2021,Broken Hill,1197474,203571,54864,4.6,27,65.3,18.6,27.7,Red Kangaroo
2021,Lower Darling,583802,99246,23886,4.1,24.1,74.2,18.4,29.2,Red Kangaroo
2021,Cobar,102480,17422,2135,2.1,12.3,74.3,18.2,28.3,Red Kangaroo
2021,Bourke,117975,11797,10015,8.5,84.9,75.3,17.6,27.5,Red Kangaroo
2021,Narrabri,190468,32380,6241,3.3,19.3,68.2,18,27.9,Red Kangaroo
2021,Coonabarabran,152052,25849,14103,9.3,54.6,74.3,18.1,28.2,Red Kangaroo
2021,Griffith North,126160,21447,14290,11.3,66.6,70.5,19.3,30.6,Red Kangaroo
2021,Griffith South,253492,43094,14278,5.6,33.1,78.3,19.1,29.2,Red Kangaroo
2020,Tibooburra,79346,0,0,0,0,0,0,0,Red Kangaroo
2020,Broken Hill,1124115,191100,43870,3.9,23,60.3,18.6,26.8,Red Kangaroo
2020,Lower Darling,691119,117490,23981,3.5,20.4,63.5,18.4,28.8,Red Kangaroo
2020,Cobar,36058,0,0,0,0,0,0,0,Red Kangaroo
2020,Bourke,497085,84504,11166,2.2,13.2,66,17.5,26.4,Red Kangaroo
2020,Narrabri,346451,58897,6994,2,11.9,62.5,17.8,26.5,Red Kangaroo
2020,Coonabarabran,500137,85023,9670,1.9,11.4,68.4,18,26.1,Red Kangaroo
2020,Griffith North,159545,27123,19372,12.1,71.4,70.4,19.3,29.5,Red Kangaroo
2020,Griffith South,106788,0,0,0,0,0,0,0,Red Kangaroo
2019,Tibooburra,344619,0,0,0,0,0,0,0,Red Kangaroo
2019,Broken Hill,1133523,192699,66690,5.88,34.61,76.94,18.25,24.58,Red Kangaroo
2019,Lower Darling,307619,52295,19150,6.23,36.62,77.6,17.3,25.18,Red Kangaroo
2019,Cobar,44733,0,0,0,0,0,0,0,Red Kangaroo
2019,Bourke,244687,41597,13661,5.58,32.84,75.76,17.85,24.04,Red Kangaroo
2019,Narrabri,353348,60069,17800,5.04,29.63,72.73,18.54,27.65,Red Kangaroo
2019,Coonabarabran,218312,37113,22291,10.21,60.06,83.27,18.37,26.72,Red Kangaroo
2019,Griffith,284853,48425,25521,8.96,52.7,76.24,19.27,28.54,Red Kangaroo
2018,Tibooburra,1135531,193040,17481,1.5,9.1,98,17.1,26.8,Red Kangaroo
2018,Broken Hill,823210,139946,82792,10.1,59.2,95.4,18.2,27.6,Red Kangaroo
2018,Lower Darling,289385,49195,21338,7.4,43.4,85.5,16.9,26.1,Red Kangaroo
2018,Cobar,229495,39014,4424,1.9,11.3,97.3,18.7,26.6,Red Kangaroo
2018,Bourke,461968,78535,22091,4.8,28.1,95.8,17.9,26.6,Red Kangaroo
2018,Narrabri,785211,133486,15015,1.9,11.2,84.5,18.1,28.7,Red Kangaroo
2018,Coonabarabran,588404,100029,23613,4,23.6,94.7,19,29,Red Kangaroo
2018,Griffith,819450,139307,28556,3.5,20.5,86.7,18.9,29.9,Red Kangaroo
2022,Tibooburra,24480,3672,0,0,0,-,-,-,Eastern Grey Kangaroo
2022,Broken Hill,77388,11608,1108,1.4,9.5,65.2,20,29.5,Eastern Grey Kangaroo
2022,Lower Darling,87395,13109,8540,9.8,65.1,87.8,20.4,28.2,Eastern Grey Kangaroo
2022,Cobar,28654,4298,785,2.7,18.3,66.7,17.7,26.4,Eastern Grey Kangaroo
2022,Bourke,22606,2261,467,2.1,20.7,90.4,17.8,26.5,Eastern Grey Kangaroo
2022,Narrabri,308728,30873,13659,4.4,44.2,77.1,18.2,27.7,Eastern Grey Kangaroo
2022,Armidale,421900,63285,25132,6,39.7,73,19,29.5,Eastern Grey Kangaroo
2022,Coonabarabran,962767,144415,28011,2.9,19.4,79.3,18.2,27.4,Eastern Grey Kangaroo
2022,Glen Innes,545200,81780,15561,2.9,19,75.9,18.9,29.7,Eastern Grey Kangaroo
2022,Upper Hunter,166500,24975,12860,7.7,51.5,78.8,19.9,29.8,Eastern Grey Kangaroo
2022,SE NSW,1428800,214320,33567,2.3,15.7,63.3,20.2,31.5,Eastern Grey Kangaroo
2022,Griffith North,566363,84954,26779,4.7,31.5,71.1,19.8,29.6,Eastern Grey Kangaroo
2022,Griffith South,424297,63645,41358,9.7,65,79.3,20.7,27.8,Eastern Grey Kangaroo
2022,C/T North,777350,116602,16587,2.1,14.2,70.9,19.5,30.2,Eastern Grey Kangaroo
2022,C/T South,488270,73240,14959,3.1,20.4,74.6,19.7,29.4,Eastern Grey Kangaroo
2021,Tibooburra,5487,0,0,0,0,0,0,0,Eastern Grey Kangaroo
2021,Broken Hill,118192,17729,1685,1.4,9.5,72.3,19.6,29.3,Eastern Grey Kangaroo
2021,Lower Darling,97538,14631,12508,12.8,85.5,83.6,20.4,28.8,Eastern Grey Kangaroo
2021,Cobar,18568,1857,1089,5.9,58.6,69.2,17.4,27.6,Eastern Grey Kangaroo
2021,Bourke,25731,2573,1036,4,40.3,78.1,17.5,28.2,Eastern Grey Kangaroo
2021,Narrabri,738318,110748,16521,2.2,14.9,69.4,18,27.3,Eastern Grey Kangaroo
2021,Armidale,421900,63285,28956,6.9,45.8,65.9,19,29.7,Eastern Grey Kangaroo
2021,Coonabarabran,828714,124307,45513,5.5,36.6,73.7,18,27.1,Eastern Grey Kangaroo
2021,Glen Innes,545200,81780,18266,3.4,22.3,70.8,18.5,29.3,Eastern Grey Kangaroo
2021,Upper Hunter,166500,24975,17337,10.4,69.4,72,19.5,30.5,Eastern Grey Kangaroo
2021,SE NSW,1721400,258210,56320,3.3,21.8,58,20.4,31.5,Eastern Grey Kangaroo
2021,Griffith North,349564,52435,31076,8.9,59.3,71.7,19.9,29.7,Eastern Grey Kangaroo
2021,Griffith South,308590,46288,42626,13.8,92.1,76.9,20.6,29.3,Eastern Grey Kangaroo
2021,C/T North,777350,116602,25847,3.3,22.2,70.4,19.4,30.4,Eastern Grey Kangaroo
2021,C/T South,488270,73240,22770,4.7,31.1,75.9,20.2,28.9,Eastern Grey Kangaroo
2020,Tibooburra,38643,5796,0,0,0,0,0,0,Eastern Grey Kangaroo
2020,Broken Hill,136233,20435,1533,1.1,7.5,67,18.6,27.2,Eastern Grey Kangaroo
2020,Lower Darling,118535,17780,14046,11.8,79,80.2,20.6,29.7,Eastern Grey Kangaroo
2020,Cobar,3047,0,0,0,0,0,0,0,Eastern Grey Kangaroo
2020,Bourke,41218,0,0,0,0,0,0,0,Eastern Grey Kangaroo
2020,Narrabri,760057,114009,26168,3.4,23,64.4,17.8,25.4,Eastern Grey Kangaroo
2020,Armidale,421900,63285,32291,7.7,51,65.3,19.1,29.1,Eastern Grey Kangaroo
2020,Coonabarabran,1421919,213288,40826,2.9,19.1,71.3,17.8,26,Eastern Grey Kangaroo
2020,Glen Innes,545200,81780,19691,3.6,24.1,69.3,18.4,27.2,Eastern Grey Kangaroo
2020,Upper Hunter,166500,24975,19017,11.4,76.1,70.7,19.3,29.2,Eastern Grey Kangaroo
2020,SE NSW,1721400,258210,58033,3.4,22.5,61.6,20.4,32.6,Eastern Grey Kangaroo
2020,Griffith North,853334,128000,30419,3.6,23.8,70.7,19.6,28.7,Eastern Grey Kangaroo
2020,Griffith South,547275,82091,29174,5.3,35.5,74,20.2,28.2,Eastern Grey Kangaroo
2020,C/T North,1728200,259230,33801,2,13,67.7,19.1,29.3,Eastern Grey Kangaroo
2020,C/T South,933900,140085,24236,2.6,17.3,75.8,20.1,29,Eastern Grey Kangaroo
2019,Tibooburra,146599,21990,0,0,0,0,0,0,Eastern Grey Kangaroo
2019,Broken Hill,164892,24734,1208,0.73,4.88,75.98,17.46,25.19,Eastern Grey Kangaroo
2019,Lower Darling,87961,13194,8293,9.43,62.85,91.56,19.22,26.66,Eastern Grey Kangaroo
2019,Cobar,33891,0,0,0,0,0,0,0,Eastern Grey Kangaroo
2019,Bourke,113742,17061,2104,1.85,12.33,81.1,17.33,23.04,Eastern Grey Kangaroo
2019,Narrabri,723343,108501,49257,6.81,45.4,71.02,17.89,24.57,Eastern Grey Kangaroo
2019,Armidale,420800,63120,33820,8.04,53.58,71.15,19.2,29.92,Eastern Grey Kangaroo
2019,Coonabarabran,1179380,176907,102454,8.69,57.91,82.01,17.99,25.1,Eastern Grey Kangaroo
2019,Griffith,762197,114330,76723,10.07,67.11,77.66,19.45,28.77,Eastern Grey Kangaroo
2019,Glen Innes,587400,88110,26931,4.58,30.57,76.85,18.76,28.09,Eastern Grey Kangaroo
2019,Upper Hunter,259600,38940,27544,10.61,70.73,76.7,19.68,29.75,Eastern Grey Kangaroo
2019,SE NSW,1721400,258210,30977,1.8,12,68.68,20.56,33.84,Eastern Grey Kangaroo
2019,C/T North,1728200,259230,42879,2.48,16.54,77.26,19.11,29.78,Eastern Grey Kangaroo
2019,C/T South,933900,140085,23401,2.51,16.7,84,20.02,29.48,Eastern Grey Kangaroo
2018,Narrabri,442522,66378,50692,76.4,11.5,77.8,17.6,26.1,Eastern Grey Kangaroo
2018,Armidale,420800,63120,19482,30.9,4.6,78.4,18.2,31.9,Eastern Grey Kangaroo
2018,Coonabarabran,847077,127061,86090,67.8,10.2,94.8,18.1,26.6,Eastern Grey Kangaroo
2018,Griffith,1046879,157032,43508,27.7,4.2,85.3,19.9,30.3,Eastern Grey Kangaroo
2018,Glen Innes,587400,88110,19870,22.6,3.4,87.2,18.5,30.6,Eastern Grey Kangaroo
2018,Upper Hunter,259600,38940,18249,46.9,7,86.4,19,30.8,Eastern Grey Kangaroo
2018,SE NSW,1284300,192645,10918,5.7,0.9,89.3,20.8,35.2,Eastern Grey Kangaroo
2018,C/T North,1728200,259230,23400,9,1.4,82.9,19,31.3,Eastern Grey Kangaroo
2018,C/T South,933900,140085,23691,16.9,2.5,90.7,19.7,30.7,Eastern Grey Kangaroo
